Sentence #	Word	Pos	Tag
	Easy	Xf	B-org
	Jet	Xf	I-org
	pokrenuo	Vmp-sm	O
	je	Var3s	O
	19.	Mdo	O
	lipnja	Ncmsg	O
	poslovanje	Ncnsa	O
	na	Sl	O
	Kosovu	Npnsl	B-loc
	.	Z	O
Sentence: 11	Prvi	Mlomsn	O
	je	Var3s	O
	povratni	Agpmsny	O
	let	Ncmsn	O
	bio	Vap-sm	O
	na	Sl	O
	relaciji	Ncfsl	O
	od	Sg	O
	Basela	Npmsg	B-loc
	u	Sl	O
	Švicarskoj	Npfsl	B-loc
	do	Sg	O
	Prištine	Npfsg	B-loc
	.	Z	O
Sentence: 12	Linija	Ncfsn	O
	će	Var3s	O
	prometovati	Vmn	O
	četiri	Mlc	O
	puta	Rgp	O
	tjedno	Rgp	O
	,	Z	O
	a	Cc	O
	očekuje	Vmr3s	O
	se	Px--sa	O
	kako	Cs	O
	će	Var3s	O
	do	Sg	O
	kraja	Ncmsg	O
	listopada	Ncmsg	O
	prevesti	Vmn	O
	do	Sg	O
	20.000	Mdc	O
	putnika	Ncmpg	O
	.	Z	O
Sentence: 13	Srpski	Agpmsny	O
	premijer	Ncmsn	O
	Mirko	Npmsn	B-per
	Cvetković	Npmsn	I-per
	otvorio	Vmp-sm	O
	je	Var3s	O
	novu	Agpfsay	O
	farmaceutsku	Agpfsay	O
	tvornicu	Ncfsa	O
	u	Sl	O
	pogonu	Ncmsl	O
	Galenike	Npfsg	B-org
	u	Sl	O
	Zemunu	Npmsl	B-loc
	u	Sa	O
	ponedjeljak	Ncmsan	O
	,	Z	O
	21.	Mdo	O
	lipnja	Ncmsg	O
	.	Z	O
Sentence: 14	Vrijednost	Ncfsn	O
	ulaganja	Ncnsg	O
	veća	Agcfsny	O
	je	Var3s	O
	od	Sg	O
	50	Mdc	O
	milijuna	Ncmpg	O
	eura	Ncmpg	O
	,	Z	O
	a	Cc	O
	bit	Van	O
	će	Var3p	O
	otvoreno	Appnsny	O
	150	Mdc	O
	novih	Agpnpgy	O
	radnih	Agpnpgy	O
	mjesta	Ncnpg	O
	.	Z	O
Sentence: 15	Godišnji	Agpmsny	O
	kapacitet	Ncmsn	O
	nove	Agpfsgy	O
	tvornice	Ncfsg	O
	je	Var3s	O
	oko	Rgp	O
	2	Mdc	O
	milijarde	Ncfpa	O
	tableta	Ncfpg	O
	i	Cc	O
	100	Mdc	O
	milijuna	Ncmpg	O
	kapsula	Ncfpg	O
	,	Z	O
	čime	Pi3n-i	O
	bi	Vaa3s	O
	trebao	Vmp-sm	O
	biti	Van	O
	udvostručen	Appmsnn	O
	ukupni	Agpmsny	O
	proizvodni	Agpmsny	O
	kapacitet	Ncmsn	O
	ovog	Pd-msg	O
	proizvođača	Ncmsg	O
	lijekova	Ncmpg	O
	.	Z	O
Sentence: 16	Hrvatska	Agpfsny	O
	premijerka	Ncfsn	O
	Jadranka	Npfsn	B-per
	Kosor	Npfsn	I-per
	i	Cc	O
	njen	Ps3msn	O
	ruski	Agpmsny	O
	kolega	Ncmsn	O
	Vladimir	Npmsn	B-per
	Putin	Npmsn	I-per
	potvrdili	Vmp-pm	O
	su	Var3p	O
	bilateralnu	Agpfsay	O
	gospodarsku	Agpfsay	O
	suradnju	Ncfsa	O
	na	Sl	O
	sastanku	Ncmsl	O
	održanom	Appmsly	O
	19.	Mdo	O
	lipnja	Ncmsg	O
	u	Sl	O
	Moskvi	Npfsl	B-loc
	.	Z	O
Sentence: 17	Kosor	Npfsn	B-per
	je	Var3s	O
	rekla	Vmp-sf	O
	kako	Cs	O
	očekuje	Vmr3s	O
	da	Cs	O
	će	Var3s	O
	parlament	Ncmsn	O
	uskoro	Rgp	O
	ratificirati	Vmn	O
	zakon	Ncmsan	O
	o	Sl	O
	sudjelovanju	Ncnsl	O
	Hrvatske	Npfsg	B-loc
	u	Sl	O
	projektu	Ncmsl	O
	Južnog	Agpmsgy	B-misc
	toka	Ncmsg	I-misc
	.	Z	O
Sentence: 18	Plinovod	Ncmsn	O
	će	Var3s	O
	transportirati	Vmn	O
	ruski	Agpmsayn	O
	plin	Ncmsan	O
	preko	Sg	O
	Crnog	Agpnsgy	B-loc
	mora	Ncnsg	I-loc
	do	Sg	O
	središnje	Agpfsgy	O
	Europe	Npfsg	B-loc
	.	Z	O
Sentence: 19	Kosor	Npfsn	B-per
	je	Var3s	O
	tijekom	Sg	O
	boravka	Ncmsg	O
	u	Sl	O
	Moskvi	Npfsl	B-loc
	otvorila	Vmp-sf	O
	ured	Ncmsan	O
	Hrvatske	Agpfsgy	B-org
	gospodarske	Agpfsgy	I-org
	komore	Ncfsg	I-org
	.	Z	O
Sentence: 20	Makedonski	Agpmsny	O
	predsjednik	Ncmsn	O
	Đorđe	Npmsn	B-per
	Ivanov	Npmsn	I-per
	i	Cc	O
	njegov	Ps3msn	O
	kolega	Ncmsn	O
	Vaclav	Npmsn	B-per
	Klaus	Npmsn	I-per
	nazočili	Vmr3p	O
	su	Var3p	O
	u	Sa	O
	utorak	Ncmsan	O
	,	Z	O
	22.	Mdo	O
	lipnja	Ncmsg	O
	,	Z	O
	u	Sl	O
	Skopju	Npnsl	B-loc
	makedonsko-češkom	Aspmsdy	O
	poslovnom	Agpmsdy	O
	forumu	Ncmsd	O
	.	Z	O
Sentence: 21	Složili	Vmp-pm	O
	su	Var3p	O
	se	Px--sa	O
	oko	Sg	O
	daljnjeg	Agpnsgy	O
	jačanja	Ncnsg	O
	bilateralnih	Agpfpgy	O
	gospodarskih	Agpfpgy	O
	veza	Ncfpg	O
	.	Z	O
Sentence: 22	Usporedo	Rgp	O
	s	Si	O
	forumom	Ncmsi	O
	provedeno	Appnsny	O
	je	Var3s	O
	i	Cc	O
	potpisivanje	Ncnsn	O
	sporazuma	Ncmsg	O
	o	Sl	O
	uspostavi	Ncfsl	O
	makedonsko-češkog	Aspnsgy	O
	poslovnog	Agpnsgy	O
	vijeća	Ncnsg	O
	.	Z	O
Sentence: 23	Hrvatska	Agpfsny	O
	naftna	Agpfsny	O
	tvrtka	Ncfsn	O
	INA	Npfsn	B-org
	i	Cc	O
	mađarski	Agpmsny	O
	MOL	Npmsn	B-org
	otkrili	Vmp-pm	O
	su	Var3p	O
	znatne	Agpfpay	O
	zalihe	Ncfpa	O
	prirodnog	Agpmsgy	O
	plina	Ncmsg	O
	na	Sl	O
	polju	Ncnsl	O
	Zalata-Dravica	Npfsn	B-loc
	na	Sl	O
	hrvatskoj	Agpfsly	O
	strani	Ncfsl	O
	ugovornog	Agpnsgy	O
	područja	Ncnsg	O
	Podravska	Agpfsny	B-loc
	Slatina-Zalata	Npfsn	I-loc
	,	Z	O
	objavila	Vmp-sf	O
	je	Var3s	O
	INA	Npfsn	B-org
	u	Sa	O
	srijedu	Ncfsa	O
	,	Z	O
	23.	Mdo	O
	lipnja	Ncmsg	O
	.	Z	O
Sentence: 24	Zajednički	Agpmsny	O
	projekt	Ncmsn	O
	eksploatacije	Ncfsg	O
	dravskog	Agpmsgy	O
	bazena	Ncmsg	O
	pokrenut	Appmsnn	O
	je	Var3s	O
	2006	Mdc	O
	.	Z	O
Sentence: 25	Dvije	Mlcf-n	O
	tvrtke	Ncfpn	O
	imaju	Vmr3p	O
	jednake	Agpmpay	O
	udjele	Ncmpa	O
	od	Sg	O
	50%	Mds	O
	,	Z	O
	te	Cc	O
	dijele	Vmr3p	O
	troškove	Ncmpa	O
	i	Cc	O
	proizvodnju	Ncfsa	O
	.	Z	O
Sentence: 26	Turski	Agpmsny	O
	ministar	Ncmsn	O
	rada	Ncmsg	O
	i	Cc	O
	socijalne	Agpfsgy	O
	sigurnosti	Ncfsg	O
	Omer	Npmsn	B-per
	Dincer	Npmsn	I-per
	otkrio	Vmp-sm	O
	je	Var3s	O
	u	Sa	O
	srijedu	Ncfsa	O
	,	Z	O
	23.	Mdo	O
	lipnja	Ncmsg	O
	,	Z	O
	pojedinosti	Ncfpa	O
	o	Sl	O
	novom	Agpmsly	O
	programu	Ncmsl	O
	obuke	Ncfsg	O
	.	Z	O
Sentence: 27	Projekt	Ncmsn	O
	će	Var3s	O
	se	Px--sa	O
	provoditi	Vmn	O
	u	Sa	O
	111	Mdc	O
	centara	Ncmpg	O
	u	Sl	O
	81	Mdc	O
	pokrajini	Ncfsl	O
	Turske	Npfsg	B-loc
	,	Z	O
	a	Cc	O
	usmjeren	Appmsnn	O
	je	Var3s	O
	na	Sa	O
	povećanje	Ncnsa	O
	učinkovitosti	Ncfsg	O
	usmjerenog	Appnsgy	O
	obrazovanja	Ncnsg	O
	za	Sa	O
	zaposlenike	Ncmpa	O
	u	Sl	O
	industriji	Ncfsl	O
	,	Z	O
	čime	Pi3n-i	O
	se	Px--sa	O
	jača	Vmr3s	O
	tržište	Ncnsa	O
	rada	Ncmsg	O
	.	Z	O
Sentence: 28	Rumunjska	Agpfsny	O
	vlada	Ncfsn	O
	je	Var3s	O
	u	Sa	O
	srijedu	Ncfsa	O
	,	Z	O
	23.	Mdo	O
	lipnja	Ncmsg	O
	,	Z	O
	odobrila	Vmp-sf	O
	hitnu	Agpfsay	O
	odredbu	Ncfsa	O
	kojom	Pi-fsi	O
	se	Px--sa	O
	povećava	Vmr3s	O
	udio	Ncmsn	O
	profita	Ncmsg	O
	koji	Pi-msan	O
	državne	Agpfpny	O
	tvrtke	Ncfpn	O
	moraju	Vmr3p	O
	pridonositi	Vmn	O
	u	Sa	O
	državni	Agpmsayn	O
	proračun	Ncmsan	O
	te	Cc	O
	se	Px--sa	O
	uvode	Vmr3p	O
	novi	Agpmpny	O
	porezi	Ncmpn	O
	za	Sa	O
	fizičke	Agpfpay	O
	osobe	Ncfpa	O
	.	Z	O
Sentence: 29	Prema	Sl	O
	novim	Agpmply	O
	propisima	Ncmpl	O
	,	Z	O
	državne	Agpfpny	O
	tvrtke	Ncfpn	O
	moraju	Vmr3p	O
	uplaćivati	Vmn	O
	do	Sg	O
	90%	Mds	O
	svojeg	Px-msg	O
	profita	Ncmsg	O
	u	Sa	O
	proračun	Ncmsan	O
	,	Z	O
	za	Sa	O
	razliku	Ncfsa	O
	od	Sg	O
	dosadašnjih	Agpmpgy	O
	50%	Mds	O
	.	Z	O
Sentence: 30	Bonovi	Ncmpn	O
	za	Sa	O
	hranu	Ncfsa	O
	i	Cc	O
	dječju	Agpfsay	O
	skrb	Ncfsa	O
	te	Cc	O
	novac	Ncmsn	O
	za	Sa	O
	godišnje	Agpmpay	O
	odmore	Ncmpa	O
	oporezivat	Vmn	O
	će	Var3p	O
	se	Px--sa	O
	po	Sl	O
	stopi	Ncfsl	O
	od	Sg	O
	16%	Mds	O
	.	Z	O
Sentence: 31	Odbitci	Ncmsn	O
	po	Sl	O
	prihodima	Ncmpl	O
	od	Sg	O
	intelektualnog	Agpnsgy	O
	vlasništva	Ncnsg	O
	bit	Van	O
	će	Var3p	O
	smanjeni	Appmpny	O
	s	Si	O
	40%	Mds	O
	na	Sa	O
	20%	Mds	O
	kako	Cs	O
	bi	Vaa3s	O
	se	Px--sa	O
	umanjilo	Vmp-sn	O
	izbjegavanje	Ncnsn	O
	plaćanja	Ncnsg	O
	poreza	Ncmsg	O
	.	Z	O
Sentence: 32	Mjere	Ncfpn	O
	su	Var3p	O
	dio	Ncmsn	O
	vladinih	Aspnpgy	O
	nastojanja	Ncnpg	O
	na	Sl	O
	suzbijanju	Ncnsl	O
	krize	Ncfsg	O
	.	Z	O
Sentence: 33	Otkazivanje	Ncnsn	O
	parade	Ncfsg	O
	u	Sl	O
	Srbiji	Npfsl	B-loc
	moglo	Vmp-sn	O
	bi	Vaa3s	O
	dovesti	Vmn	O
	do	Sg	O
	zabrana	Ncfpg	O
	udruga	Ncfpg	O
Sentence: 34	Beogradska	Agpfsny	O
	gay	Xf	O
	Parada	Ncfsn	B-misc
	ponosa	Ncmsg	I-misc
	--	Z	O
	koja	Pi-fsn	O
	se	Px--sa	O
	trebala	Vmp-sf	O
	održati	Vmn	O
	ranije	Rgc	O
	ovog	Pd-msg	O
	tjedna	Ncmsg	O
	--	Z	O
	otkazana	Appfsny	O
	je	Var3s	O
	zbog	Sg	O
	prijetnji	Ncfpg	O
	ekstremističkih	Agpfpgy	O
	skupina	Ncfpg	O
	.	Z	O
Sentence: 35	Policija	Ncfsn	O
	provjerava	Vmr3s	O
	isprave	Ncfpa	O
	srpskog	Agpmsgy	O
	ultranacionalista	Ncmsg	O
	u	Sa	O
	nedjelju	Ncfsa	O
	(	Z	O
	20.	Mdo	O
	rujna	Ncmsg	O
	)	Z	O
	u	Sl	O
	Beogradu	Npmsl	B-loc
	.	Z	O
Sentence: 36	Srbijanske	Agpfpny	O
	vlasti	Ncfpn	O
	razmatraju	Vmr3p	O
	zabranu	Ncfsa	O
	političkih	Agpfpgy	O
	skupina	Ncfpg	O
	koje	Pi-fpn	O
	prijete	Vmr3p	O
	drugima	Mlompd	O
	,	Z	O
	izjavili	Vmp-pm	O
	su	Var3p	O
	dužnosnici	Ncmpn	O
	u	Sa	O
	ponedjeljak	Ncmsan	O
	(	Z	O
	22.	Mdo	O
	rujna	Ncmsg	O
	)	Z	O
	.	Z	O
Sentence: 37	Katalizator	Ncmsn	O
	su	Var3p	O
	bile	Vap-pf	O
	prijetnje	Ncfpn	O
	ultranacionalističkih	Agpfpgy	O
	skupina	Ncfpg	O
	koje	Pi-fpn	O
	su	Var3p	O
	dovele	Vmp-pf	O
	do	Sg	O
	otkazivanja	Ncnsg	O
	nedjeljne	Agpfsgy	O
	gay	Xf	O
	Parade	Ncfsg	B-misc
	ponosa	Ncmsg	I-misc
	u	Sl	O
	Beogradu	Npmsl	B-loc
	.	Z	O
Sentence: 38	Zamjenik	Ncmsn	O
	ministra	Ncmsg	O
	pravosuđa	Ncnsg	O
	Slobodan	Npmsn	B-per
	Homen	Npmsn	I-per
	izjavio	Vmp-sm	O
	je	Var3s	O
	za	Sa	O
	B92	Npmsan	B-org
	kako	Cs	O
	vlasti	Ncfpn	O
	planiraju	Vmr3p	O
	zatražiti	Vmn	O
	od	Sg	O
	najvišeg	Agsmsgy	O
	suda	Ncmsg	O
	u	Sl	O
	Srbiji	Npfsl	B-loc
	"	Z	O
	zabranu	Ncfsa	O
	svih	Agpfpgy	O
	udruga	Ncfpg	O
	koje	Pi-fpn	O
	upućuju	Vmr3p	O
	prijetnje	Ncfpa	O
	"	Z	O
	.	Z	O
Sentence: 39	Ultranacionalističke	Agpfpny	O
	skupine	Ncfpn	O
	Obraz	Ncmsn	B-org
	i	Cc	O
	Srpski	Agpmsny	B-org
	narodni	Agpmsny	I-org
	pokret	Ncmsn	I-org
	1389	Mdc	I-org
	protivile	Vmp-pf	O
	su	Var3p	O
	se	Px--sa	O
	gay	Xf	O
	paradi	Ncfsd	O
	.	Z	O
Sentence: 40	Vođa	Ncmsn	O
	Obraza	Ncmsg	B-org
	Mladen	Npmsn	B-per
	Obradović	Npmsn	I-per
	upozorio	Vmp-sm	O
	je	Var3s	O
	kako	Cs	O
	će	Var3p	O
	organizatori	Ncmpn	O
	biti	Van	O
	odgovorni	Agpmpny	O
	za	Sa	O
	ono	Pd-nsa	O
	što	Pi3n-n	O
	bi	Vaa3s	O
	se	Px--sa	O
	moglo	Vmp-sn	O
	dogoditi	Vmn	O
	ukoliko	Cs	O
	se	Px--sa	O
	događaj	Ncmsn	O
	održi	Vmr3s	O
	kao	Cs	O
	što	Cs	O
	je	Var3s	O
	planirano	Appnsny	O
	.	Z	O
Sentence: 41	Prema	Sl	O
	izvješćima	Ncnpl	O
	lokalnih	Agpmpgy	O
	medija	Ncmpg	O
	,	Z	O
	skupina	Ncfsn	O
	od	Sg	O
	oko	Rgp	O
	10.000	Mdc	O
	huligana	Ncmpg	O
	planirala	Vmp-sf	O
	je	Var3s	O
	zasuti	Vmn	O
	sudionike	Ncmpa	O
	parade	Ncfsg	O
	kamenjem	Ncnsi	O
	skrivenim	Agpnsiy	O
	u	Sl	O
	kanalizacijskim	Agpmply	O
	otvorima	Ncmpl	O
	duž	Sg	O
	puta	Ncmsg	O
	kojim	Pi-msi	O
	se	Px--sa	O
	parada	Ncfsn	O
	trebala	Vmp-sf	O
	kretati	Vmn	O
	.	Z	O
Sentence: 42	Skupine	Ncfpn	O
	su	Var3p	O
	također	Rgp	O
	planirale	Vmp-pf	O
	napad	Ncmsan	O
	na	Sa	O
	veleposlanstvo	Ncnsa	O
	Švedske	Npfsg	B-loc
	,	Z	O
	koje	Pi-nsn	O
	je	Var3s	O
	trebalo	Vmp-sn	O
	biti	Van	O
	domaćin	Ncmsn	O
	domjenka	Ncmsg	O
	za	Sa	O
	sudionike	Ncmpa	O
	parade	Ncfsg	O
	.	Z	O
Sentence: 43	Određeni	Agpmpny	O
	članovi	Ncmpn	O
	tih	Pd-fpg	O
	ekstremističkih	Agpfpgy	O
	skupina	Ncfpg	O
	čak	Qo	O
	su	Var3p	O
	se	Px--sa	O
	kanili	Vmp-pm	O
	infiltrirati	Vmn	O
	među	Sa	O
	sudionike	Ncmpa	O
	parade	Ncfsg	O
	,	Z	O
	što	Pi3n-n	O
	bi	Vaa3s	O
	im	Pp3-pd	O
	omogućilo	Vmp-sn	O
	da	Cs	O
	kasnije	Rgc	O
	izravno	Rgp	O
	napadnu	Vmr3p	O
	sudionike	Ncmpa	O
	.	Z	O
Sentence: 44	Ministarstvo	Ncnsn	B-org
	unutarnjih	Agpmpgy	I-org
	poslova	Ncmpg	I-org
	priopćilo	Vmp-sn	O
	je	Var3s	O
	kako	Cs	O
	policija	Ncfsn	O
	ne	Qz	O
	može	Vmr3s	O
	jamčiti	Vmn	O
	sigurnost	Ncfsa	O
	sudionika	Ncmpg	O
	parade	Ncfsg	O
	i	Cc	O
	preporučilo	Vmp-sn	O
	premještaj	Ncmsan	O
	parade	Ncfsg	O
	iz	Sg	O
	središta	Ncnsg	O
	grada	Ncmsg	O
	u	Sa	O
	park	Ncmsan	O
	Ušće	Ncnsn	B-loc
	,	Z	O
	u	Sl	O
	blizini	Ncfsl	O
	rijeka	Ncfpg	O
	Dunava	Npmsg	B-loc
	i	Cc	O
	Save	Npfsg	B-loc
	,	Z	O
	gdje	Rgp	O
	bi	Vaa3p	O
	sudionici	Ncmpn	O
	parade	Ncfsg	O
	mogli	Vmp-pm	O
	biti	Van	O
	bolje	Rgc	O
	zaštićeni	Agpmpny	O
	.	Z	O
Sentence: 45	"	Z	O
	Ministarstvo	Ncnsn	B-org
	unutarnjih	Agpmpgy	I-org
	poslova	Ncmpg	I-org
	obvezatno	Agpnsny	O
	je	Var3s	O
	skrenuti	Vmn	O
	pozornost	Ncfsa	O
	na	Sa	O
	visok	Agpmsann	O
	rizik	Ncmsan	O
	kada	Rgp	O
	su	Var3p	O
	u	Sl	O
	pitanju	Ncnsl	O
	imovina	Ncfsn	O
	i	Cc	O
	ljudski	Agpmpny	O
	životi	Ncmpn	O
	.	Z	O
Sentence: 46	Predložili	Vmp-pm	O
	smo	Var1p	O
	izbor	Ncmsan	O
	lokacije	Ncfsg	O
	koju	Pi-fsa	O
	bi	Vaa3s	O
	policija	Ncfsn	O
	mogla	Vmp-sf	O
	osigurati	Vmn	O
	,	Z	O
	kako	Cs	O
	ne	Qz	O
	bi	Vaa3p	O
	bili	Vap-pm	O
	odgovorni	Agpmpny	O
	niti	Qz	O
	za	Sa	O
	jedan	Mlcmsan	O
	ljudski	Agpmsayn	O
	život	Ncmsan	O
	"	Z	O
	,	Z	O
	izjavio	Vmp-sm	O
	je	Var3s	O
	ministar	Ncmsn	O
	unutarnjih	Agpmpgy	O
	poslova	Ncmpg	O
	Ivica	Npmsn	B-per
	Dačić	Npmsn	I-per
	.	Z	O
Sentence: 47	Organizatori	Ncmpn	O
	su	Var3p	O
	to	Pd-nsa	O
	odbili	Vmp-pm	O
	.	Z	O
Sentence: 48	"	Z	O
	Tradicija	Ncfsn	O
	u	Sl	O
	svim	Agpmply	O
	velikim	Agpmply	O
	svjetskim	Agpmply	O
	gradovima	Ncmpl	O
	jest	Var3s	O
	da	Cs	O
	se	Px--sa	O
	takvi	Pd-mpn	O
	događaji	Ncmpn	O
	održavaju	Vmr3p	O
	na	Sl	O
	glavnim	Agpfply	O
	ulicama	Ncfpl	O
	,	Z	O
	kako	Cs	O
	bi	Vaa3s	O
	se	Px--sa	O
	pokazalo	Vmp-sn	O
	da	Cs	O
	su	Var3p	O
	članovi	Ncmpn	O
	gay	Xf	O
	i	Cc	O
	lezbijskog	Agpmsgy	O
	dijela	Ncmsg	O
	stanovništva	Ncnsg	O
	ravnopravni	Agpmpny	O
	članovi	Ncmpn	O
	društva	Ncnsg	O
	.	Z	O
Sentence: 49	Ne	Qz	O
	želimo	Vmr1p	O
	šetati	Vmn	O
	oko	Sg	O
	neke	Pi-fsg	O
	livade	Ncfsg	O
	u	Sl	O
	blizini	Ncfsl	O
	rijeke	Ncfsg	O
	;	Z	O
	to	Pd-nsn	O
	ne	Qz	O
	bi	Vaa3s	O
	bila	Vap-sf	O
	Parada	Ncfsn	B-misc
	ponosa	Ncmsg	I-misc
	"	Z	O
	,	Z	O
	kazala	Vmp-sf	O
	je	Var3s	O
	članica	Ncfsn	O
	organizacijskog	Agpmsgy	O
	odbora	Ncmsg	O
	Majda	Npfsn	B-per
	Puača	Npfsn	I-per
	.	Z	O
Sentence: 50	Predlaganje	Ncnsn	O
	druge	Mlofsg	O
	lokacije	Ncfsg	O
	pokazalo	Vmp-sn	O
	je	Var3s	O
	kako	Cs	O
	je	Var3s	O
	"	Z	O
	država	Ncfsn	O
	ustuknula	Vmp-sf	O
	pred	Si	O
	prijetnjama	Ncfpi	O
	nasiljem	Ncnsi	O
	"	Z	O
	,	Z	O
	kazali	Vmp-pm	O
	su	Var3p	O
	organizatori	Ncmpn	O
	.	Z	O
Sentence: 51	Šef	Ncmsn	O
	srbijanske	Agpfsgy	O
	policije	Ncfsg	O
	Milorad	Npmsn	B-per
	Veljović	Npmsn	I-per
	izjavio	Vmp-sm	O
	je	Var3s	O
	u	Sa	O
	ponedjeljak	Ncmsan	O
	kako	Cs	O
	će	Var3p	O
	biti	Van	O
	poduzete	Appfpny	O
	"	Z	O
	striktnije	Agcfpny	O
	mere	Xf	O
	"	Z	O
	protiv	Sg	O
	osoba	Ncfpg	O
	koje	Pi-fpn	O
	promiču	Vmr3p	O
	nasilje	Ncnsa	O
	,	Z	O
	ukazujući	Rr	O
	kako	Cs	O
	je	Var3s	O
	u	Sa	O
	nedjelju	Ncfsa	O
	uhićeno	Appnsny	O
	37	Mdc	O
	osoba	Ncfpg	O
	nakon	Cs	O
	što	Cs	O
	su	Var3p	O
	pokušali	Vmp-pm	O
	organizirati	Vmn	O
	protu-gay	Agpmsayn	O
	skup	Ncmsan	O
	u	Sl	O
	središtu	Ncnsl	O
	Beograda	Npmsg	B-loc
	.	Z	O
Sentence: 52	Policija	Ncfsn	O
	je	Var3s	O
	također	Rgp	O
	priopćila	Vmp-sf	O
	kako	Cs	O
	"	Z	O
	ubuduće	Rgp	O
	"	Z	O
	nikakvi	Pi-mpn	O
	javni	Agpmpny	O
	skupovi	Ncmpn	O
	neće	Var3p	O
	biti	Van	O
	dozvoljeni	Appmpny	O
	u	Sl	O
	središtu	Ncnsl	O
	Beograda	Npmsg	B-loc
	iz	Sg	O
	sigurnosnih	Agpmpgy	O
	razloga	Ncmpg	O
	.	Z	O
Sentence: 53	Vođenje	Ncnsn	O
	kampanje	Ncfsg	O
	u	Sl	O
	BiH	Vaa1s	B-loc
	ulazi	Vmr3s	O
	u	Sa	O
	digitalno	Agpnsay	O
	doba	Ncnsa	O
Sentence: 54	Dok	Cs	O
	političari	Ncmpn	O
	i	Cc	O
	nevladine	Aspfpny	O
	udruge	Ncfpn	O
	teže	Vmr3p	O
	mobilizirati	Vmn	O
